theme,heure,nombre
2,18,1752
2,17,1687
2,19,1357
2,20,1222
2,21,1125
2,16,1120
2,11,1074
2,12,1031
2,10,1014
2,14,956
2,22,949
2,13,908
2,15,875
2,23,718
2,9,690
2,0,394
2,8,337
2,7,213
2,1,186
2,3,181
2,6,150
2,4,101
2,2,98
2,5,81
1,18,2327
1,19,2091
1,17,1920
1,20,1817
1,16,1570
1,21,1484
1,15,1348
1,12,1327
1,13,1317
1,14,1305
1,22,1119
1,11,1008
1,23,887
1,10,852
1,0,698
1,9,590
1,1,467
1,8,348
1,2,313
1,7,239
1,3,238
1,4,161
1,6,132
1,5,120
